,Phrase,Scrape,Keyword,Score,URL,Page
87,"('poznania', 'lekarz', 'zszokowany', 'zabiegiem')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
88,"('twarz', 'u', 'kosmetyczki', 'z')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
89,"('u', 'kosmetyczki', 'z', 'poznania')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
90,"('00', '18', '00', 'sob')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
91,"('00', 'sob', '10', '00')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
92,"('18', '00', 'sob', '10')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
93,"('796', '15', '15', '15')",244510,ślusarz warszawa,40.0,http://slusarz-warszawa24h.pl/,3240957
94,"('9', '00', '18', '00')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
95,"('dorabiania', 'kluczy', 'pon', 'pt')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
96,"('dzwoń', '796', '15', '15')",244510,ślusarz warszawa,40.0,http://slusarz-warszawa24h.pl/,3240957
97,"('kluczy', 'pon', 'pt', '9')",244510,ślusarz warszawa,40.0,http://calodobowyslusarz.pl/,3240956
98,"('najlepsi', 'ślusarze', 'w', 'warszawie')",244510,ślusarz warszawa,40.0,https://www.oferteo.pl/slusarz/warszawa,3240960
99,"('pogotowie', 'zamkowe', 'warszawa', '24h')",244510,ślusarz warszawa,40.0,http://www.pogotowiezamkowe.com.pl/,3240959
100,"('a', 'new', 'era', 'at')",244509,npl,44.0,https://gonpl.com/,3240942
101,"('at', 'npl', 'build', 'your')",244509,npl,44.0,https://gonpl.com/,3240942
102,"('build', 'your', 'career', 'on')",244509,npl,44.0,https://gonpl.com/,3240942
103,"('career', 'on', 'solid', 'ground')",244509,npl,44.0,https://gonpl.com/,3240942
104,"('era', 'at', 'npl', 'build')",244509,npl,44.0,https://gonpl.com/,3240942
105,"('five', 'decades', 'of', 'expertise')",244509,npl,44.0,https://gonpl.com/,3240942
106,"('new', 'era', 'at', 'npl')",244509,npl,44.0,https://gonpl.com/,3240942
107,"('npl', 'build', 'your', 'career')",244509,npl,44.0,https://gonpl.com/,3240942
108,"('on', 'five', 'decades', 'of')",244509,npl,44.0,https://gonpl.com/,3240942
109,"('your', 'career', 'on', 'solid')",244509,npl,44.0,https://gonpl.com/,3240942
